varos,sorszam,valasztokorzet,lista,szavazatok,fidesz_aranya_valasztokorben,fidesz_aranya_teruleten,fidesz_aranya_diff,helyi_megjelentek_szama,atjelentkezett_megjelentek_szama,atjelentkezettek_aranya
Abony,015,"Abony - 015",FIDESZ-KDNP,232,51.5555555555556,56.7279310807552,-5.17237552519962,453,0,0.0
Tass,001,"Tass - 001",FIDESZ-KDNP,424,61.5384615384615,66.7114800093524,-5.17301847089082,689,30,4.17246175243394
"Somogyjád",002,"Somogyjád - 002",FIDESZ-KDNP,219,51.1682242990654,56.3421296422441,-5.17390534317866,435,0,0.0
Kiskunhalas,016,"Kiskunhalas - 016",FIDESZ-KDNP,245,50.1022494887526,55.2770603392265,-5.17481085047391,493,0,0.0
"Kisvárda",006,"Kisvárda - 006",FIDESZ-KDNP,265,48.4460694698355,53.6233512786873,-5.17728180885183,557,0,0.0
Kecel,001,"Kecel - 001",FIDESZ-KDNP,343,52.8505392912173,58.0344852145451,-5.18394592332789,657,0,0.0
"Mohács",014,"Mohács - 014",FIDESZ-KDNP,290,52.9197080291971,58.1047812897314,-5.18507326053431,555,0,0.0
"Makó",016,"Makó - 016",FIDESZ-KDNP,234,46.8,51.9868296813469,-5.18682968134693,502,0,0.0
"Kiskunfélegyháza",008,"Kiskunfélegyháza - 008",FIDESZ-KDNP,237,50.4255319148936,55.6199403540016,-5.19440843910802,474,0,0.0
"Szikszó",005,"Szikszó - 005",FIDESZ-KDNP,161,43.5135135135135,48.7094785098559,-5.1959649963424,375,0,0.0
"Budapest XVI. kerület",030,"Budapest XVI. kerület - 030",FIDESZ-KDNP,286,36.4795918367347,41.6850912149879,-5.20549937825326,787,0,0.0
Rakamaz,002,"Rakamaz - 002",FIDESZ-KDNP,205,38.2462686567164,43.451988025499,-5.20571936878259,541,0,0.0
"Kecskemét",017,"Kecskemét - 017",FIDESZ-KDNP,251,44.1124780316344,49.3213709560138,-5.20889292437939,573,0,0.0
